kecamatan,kelurahan,lintang_selatan,bujur_timur,parameter,hasil_analisa
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Warna,188
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Kekeruhan,1.3
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Air Raksa,<0.0003
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Besi (Fe),0.14
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Fluorida,0.84
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Cadmium (Cd),0
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Kesadahan,30.81
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Krom Heksavalen,<0.003
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Mangan (Mn),<0.05
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Nitrat,0.1
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Nitrit,0.4
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Seng (Zn),<0.01
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Sulfat,83.96
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Timah Hitam (Pb),0
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Detergen,0.4
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Zat Organik,1.13
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Total Coliform,0
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",E.Coli,0
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Indeks Pencemaran,2.753072798
Gambir,Cideng,"06o10’05,1” "," 106o48’33,5”	",Kategori,Tercemar Ringan
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Warna,39
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Kekeruhan,1.76
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Air Raksa,<0.0003
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Besi (Fe),0.11
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Fluorida,0.62
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Cadmium (Cd),0
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Kesadahan,60.1
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Krom Heksavalen,<0.003
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Mangan (Mn),<0.05
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Nitrat,1.87
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Nitrit,0.1
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Seng (Zn),0.95
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Sulfat,40.73
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Timah Hitam (Pb),0
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Detergen,<0.03
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Zat Organik,5.52
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Total Coliform,0
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",E.Coli,0
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Indeks Pencemaran,0.570095694
Gambir,Duri Pulo,"06o09’48,1” 	"," 106o48’32,8”	",Kategori,"MemenuhiBaku Mutu"
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Warna,30
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Kekeruhan,0.89
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Air Raksa,<0.0003
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Besi (Fe),0.8
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Fluorida,0.43
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Cadmium (Cd),0
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Kesadahan,69.86
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Krom Heksavalen,<0.003
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Mangan (Mn),<0.05
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Nitrat,1.67
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Nitrit,0.6
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Seng (Zn),<0.01
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Sulfat,36.3
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Timah Hitam (Pb),0
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Detergen,<0.03
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Zat Organik,7.45
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Total Coliform,0
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",E.Coli,0
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Indeks Pencemaran,0.540528007
Gambir,Gambir,"06o09’48,1” "," 106o48’38,8”	",Kategori,"MemenuhiBaku Mutu"
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Warna,31
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Kekeruhan,1.49
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Air Raksa,<0.0003
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Besi (Fe),0.1
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Fluorida,0.67
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Cadmium (Cd),0
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Kesadahan,37.32
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Krom Heksavalen,<0.003
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Mangan (Mn),<0.05
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Nitrat,0.5
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Nitrit,0.3
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Seng (Zn),<0.01
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Sulfat,39.68
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Timah Hitam (Pb),0
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Detergen,<0.03
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Zat Organik,0.5
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Total Coliform,0
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",E.Coli,0
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Indeks Pencemaran,0.45075066
Gambir,Kebon Kelapa,"06o09’52,5” ","106o49’30,9”	",Kategori,"MemenuhiBaku Mutu"
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Warna,41
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Kekeruhan,4.83
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Air Raksa,<0.0003
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Besi (Fe),0.1
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Fluorida,0.48
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Cadmium (Cd),0
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Kesadahan,63.35
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Krom Heksavalen,<0.003
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Mangan (Mn),0.14
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Nitrat,0.1
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Nitrit,0.3
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Seng (Zn),<0.01
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Sulfat,85.98
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Timah Hitam (Pb),0
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Detergen,0.12
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Zat Organik,1.32
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Total Coliform,0
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",E.Coli,0
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Indeks Pencemaran,2.63896908
Gambir,Petojo Selatan,"06o10’18,9” ","106o49’01,1”	",Kategori,"Tercemar Ringan"
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Warna,30
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Kekeruhan,5.5
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Air Raksa,<0.0003
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Besi (Fe),0.99
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Fluorida,0.66
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Cadmium (Cd),0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Kesadahan,28.9
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Krom Heksavalen,<0.003
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Mangan (Mn),0.13
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Nitrat,0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Nitrit,0.3
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Seng (Zn),<0.01
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Sulfat,34.3
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Timah Hitam (Pb),0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Detergen,0.5
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Zat Organik,1.26
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Total Coliform,0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",E.Coli,0
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Indeks Pencemaran,0.27620956
Gambir,Petojo Utara,"06o09’44,5” ","106o49’03,0”	",Kategori,MemenuhiBaku Mutu
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Warna,60
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Kekeruhan,5
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Air Raksa,<0.0003
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Besi (Fe),0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Fluorida,0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Cadmium (Cd),0
Sawah Besar,Gunung Sahari Utara,"06o09’11,4”","106o50’19,4”",Kesadahan,65
